Month of Posted Date,Blank,Category,Name,Posted Date,Expense
May 2014,,Food & Dining,Panda Express,5/1/2014,3
May 2014,,Food & Dining,Wistaria Restaurant,5/1/2014,18
May 2014,,Shopping,USPS,5/1/2014,1
May 2014,,Food & Dining,Bean Town,5/1/2014,2
May 2014,,Shopping,Marie Chanta,5/1/2014,0
May 2014,,Shopping,Amazon,5/2/2014,6
May 2014,,Shopping,Amazon,5/2/2014,5
May 2014,,Shopping,Amazon,5/2/2014,8
May 2014,,Shopping,Amazon,5/2/2014,27
May 2014,,Shopping,Amazon,5/2/2014,27
May 2014,,Food & Dining,Pitas To Go,5/2/2014,3
May 2014,,Food & Dining,Lucky Baldwin's,5/2/2014,9
May 2014,,Food & Dining,Mother Moo,5/2/2014,6
May 2014,,Shopping,Babybeaubel,5/2/2014,87
May 2014,,Shopping,Amazon,5/3/2014,6
May 2014,,Shopping,Amazon,5/3/2014,27
May 2014,,Food & Dining,Lucky Baldwin's,5/3/2014,20
May 2014,,Food & Dining,Mother Moo,5/3/2014,9
May 2014,,Food & Dining,Bean Town,5/3/2014,3
May 2014,,Shopping,Sweet Lulu,5/5/2014,24
May 2014,,Shopping,Amazon,5/5/2014,5
May 2014,,Shopping,Amazon,5/5/2014,20
May 2014,,Auto & Transport,Pasadena Parking,5/5/2014,1
May 2014,,Food & Dining,Market on Holly,5/5/2014,15
May 2014,,Food & Dining,Panda Inn,5/5/2014,14
May 2014,,Food & Dining,Taco Fiesta,5/5/2014,2
May 2014,,Home,Container Store,5/5/2014,13
May 2014,,Home,Arnold's Frontier Hardware Store,5/5/2014,3
May 2014,,Home,Arnold's Frontier Hardware Store,5/5/2014,4
May 2014,,Food & Dining,Wholefoods,5/5/2014,3
May 2014,,Home,Cost Plus World Market,5/5/2014,45
May 2014,,Shopping,Nordstrom,5/5/2014,0
May 2014,,Shopping,Nordstrom,5/5/2014,0
May 2014,,Shopping,Anthropologie,5/5/2014,178
May 2014,,Shopping,Anthropologie,5/5/2014,0
May 2014,,Shopping,Amazon,5/6/2014,28
May 2014,,Food & Dining,Mother Moo,5/6/2014,4
May 2014,,Food & Dining,Starbucks,5/6/2014,1
May 2014,,Home,Maude Woods,5/6/2014,53
May 2014,,Shopping,Anthropologie,5/6/2014,55
May 2014,,Shopping,Anthropologie,5/6/2014,0
May 2014,,Shopping,Nordstrom,5/6/2014,644
May 2014,,Shopping,Nordstrom,5/6/2014,0
May 2014,,Shopping,Ella,5/7/2014,133
May 2014,,Shopping,Neiman Marcus,5/7/2014,161
May 2014,,Food & Dining,Trendy Thai,5/7/2014,4
May 2014,,Food & Dining,Lucky Baldwin's,5/7/2014,21
May 2014,,Food & Dining,Mother Moo,5/7/2014,2
May 2014,,Food & Dining,CVS,5/7/2014,6
May 2014,,Shopping,Netaporter,5/7/2014,7
May 2014,,Food & Dining,Diapers.com,5/7/2014,0
May 2014,,Shopping,Meri Meri,5/8/2014,20
May 2014,,Food & Dining,Diapers.com,5/8/2014,36
May 2014,,Food & Dining,McDonald's,5/8/2014,1
May 2014,,Food & Dining,Starbucks,5/8/2014,2
May 2014,,Food & Dining,Bean Town,5/8/2014,2
May 2014,,Home,Cost Plus World Market,5/8/2014,0
May 2014,,Shopping,Neiman Marcus,5/8/2014,0
May 2014,,Food & Dining,Casa Del Rey,5/9/2014,6
May 2014,,Food & Dining,Wholefoods,5/9/2014,4
May 2014,,Food & Dining,Shakey's,5/10/2014,3
May 2014,,Food & Dining,Shakey's,5/10/2014,10
May 2014,,Food & Dining,Mother Moo,5/10/2014,2
May 2014,,Shopping,Nordstrom,5/10/2014,18
May 2014,,Shopping,Neiman Marcus,5/10/2014,0
May 2014,,Shopping,Neiman Marcus,5/10/2014,0
May 2014,,Shopping,Anthropologie,5/10/2014,0
May 2014,,Shopping,Fedex,5/12/2014,4
May 2014,,Food & Dining,Julienne,5/12/2014,11
May 2014,,Shopping,Fedex,5/12/2014,0
May 2014,,Food & Dining,Vrej Pastry,5/12/2014,23
May 2014,,Food & Dining,Wholefoods,5/12/2014,14
May 2014,,Shopping,BHLDN DIRECT,5/12/2014,0
May 2014,,Entertainment,Lumosity.com,5/13/2014,5
May 2014,,Shopping,Anthropologie,5/13/2014,0
May 2014,,Shopping,Anthropologie,5/13/2014,0
May 2014,,Shopping,BHLDN DIRECT,5/14/2014,150
May 2014,,Shopping,Netaporter,5/14/2014,0
May 2014,,Shopping,Zara,5/14/2014,40
May 2014,,Food & Dining,Panda Inn,5/15/2014,23
May 2014,,Shopping,Paulaanderi,5/15/2014,0
May 2014,,Shopping,Meri Meri,5/16/2014,35
May 2014,,Entertainment,LA Zoo,5/16/2014,12
May 2014,,Food & Dining,Royal Pastry,5/16/2014,8
May 2014,,Shopping,Jacadi,5/16/2014,23
May 2014,,Home,Cost Plus World Market,5/16/2014,58
May 2014,,Shopping,Target,5/16/2014,53
May 2014,,Auto & Transport,Pasadena Parking,5/17/2014,1
May 2014,,Food & Dining,Starbucks,5/17/2014,2
May 2014,,Food & Dining,Mother Moo,5/17/2014,2
May 2014,,Home,Cost Plus World Market,5/17/2014,1
May 2014,,Food & Dining,Trader Joe's,5/17/2014,30
May 2014,,Food & Dining,Wholefoods,5/17/2014,43
May 2014,,Food & Dining,Wholefoods,5/17/2014,2
May 2014,,Food & Dining,Wholefoods,5/17/2014,25
May 2014,,Shopping,Babybeaubel,5/17/2014,0
May 2014,,Home,Michael's,5/17/2014,3
May 2014,,Home,Sur La Table,5/17/2014,0
May 2014,,Shopping,Paper Source,5/17/2014,30
May 2014,,Shopping,Urban Outfitters,5/17/2014,0
May 2014,,Shopping,Urban Outfitters,5/17/2014,72
May 2014,,Home,Lula Mae,5/19/2014,24
May 2014,,Home,Lula Mae,5/19/2014,24
May 2014,,Auto & Transport,One Colorado,5/19/2014,1
May 2014,,Food & Dining,Din Tai Fung,5/19/2014,36
May 2014,,Food & Dining,Royal Pastry,5/19/2014,12
May 2014,,Food & Dining,Mother Moo,5/19/2014,195
May 2014,,Food & Dining,Porta Via,5/19/2014,384
May 2014,,Home,Cost Plus World Market,5/19/2014,18
May 2014,,Home,Home Goods,5/19/2014,36
May 2014,,Home,Snyder Diamond,5/19/2014,16
May 2014,,Personal Care,Bella Sol Tanning,5/19/2014,13
May 2014,,Shopping,Aaron Brothers,5/19/2014,15
May 2014,,Food & Dining,Albertsons,5/19/2014,15
May 2014,,Entertainment,Town & Country,5/19/2014,61
May 2014,,Shopping,Paulaanderi,5/19/2014,0
May 2014,,Home,Container Store,5/19/2014,10
May 2014,,Shopping,Aaron Brothers,5/19/2014,0
May 2014,,Shopping,Anthropologie,5/19/2014,0
May 2014,,Food & Dining,Trader Joe's,5/19/2014,6
May 2014,,Food & Dining,Wholefoods,5/20/2014,5
May 2014,,Shopping,Anthropologie,5/20/2014,0
May 2014,,Auto & Transport,Chevron,5/21/2014,18
May 2014,,Shopping,Anthropologie,5/22/2014,0
May 2014,,Shopping,Holisticsqu,5/23/2014,10
May 2014,,Food & Dining,Wholefoods,5/23/2014,33
May 2014,,Entertainment,Town & Country,5/23/2014,0
May 2014,,Auto & Transport,Chevron,5/24/2014,23
May 2014,,Food & Dining,Panda Inn,5/24/2014,47
May 2014,,Food & Dining,Julienne,5/24/2014,8
May 2014,,Entertainment,iTunes,5/27/2014,2
May 2014,,Food & Dining,Chipotle,5/27/2014,9
May 2014,,Food & Dining,Einstein Bros,5/27/2014,2
May 2014,,Food & Dining,Luggage Room,5/27/2014,23
May 2014,,Food & Dining,Starbucks,5/27/2014,1
May 2014,,Food & Dining,Wholefoods,5/27/2014,6
May 2014,,Home,Container Store,5/27/2014,0
May 2014,,Home,Michael's,5/27/2014,0
May 2014,,Home,Sur La Table,5/27/2014,0
May 2014,,Shopping,Aaron Brothers,5/27/2014,0
May 2014,,Shopping,Paper Source,5/27/2014,0
May 2014,,Shopping,Target,5/27/2014,0
May 2014,,Food & Dining,Trader Joe's,5/27/2014,0
May 2014,,Food & Dining,Panda Inn,5/28/2014,18
May 2014,,Food & Dining,Mother Moo,5/28/2014,11
May 2014,,Personal Care,Donation,5/29/2014,17
May 2014,,Food & Dining,Lucky Baldwin's,5/30/2014,4
May 2014,,Food & Dining,Mother Moo,5/30/2014,3
May 2014,,Food & Dining,Mantee,5/30/2014,15
May 2014,,Food & Dining,Din Tai Fung,5/31/2014,16
May 2014,,Food & Dining,Mother Moo,5/31/2014,3
May 2014,,Food & Dining,Starbucks,5/31/2014,2
May 2014,,Food & Dining,The Hat,5/31/2014,4
